Class,MAVE,Correct Answer,Flan - MAVE,Flan-Points,,BIG - MAVE,BIG - Points,,Alpaca - MAVE,Alpaca - Points,,Cohere - MAVE,Cohere - Points,,GPT - MAVE,Points,
,Sensitivity,None,Sensitivity is 128 kHz,0,,Bluetooth Enabled,0,,None,1,,Sensitivity Name: JBL,0,,None,1,
"Modern Sleep Universal Heavy-Duty Adjustable Metal Bed Frame with Double Rail Center Support Bar, Fits All Mattress Sizes",Style,Metal/Heavy-duty/bedframe,Style is Universal Heavy-Duty Adjustable Metal Bed Frame,1,1,Mattress not included,0,0,Universal Heavy-Duty Adjustable Metal Bed Frame,1,1,"The attribute is ""Style"" and the value",0,"0,5",None,0,0
,Frame Material,metal/power-coated steel,Frame Material is Black Matte Powder-coated Steel,1,,None,0,,Steel,1,,Metal,1,,Solid black matte,0,
Cedarvale Single Wall Sconce w/Copper Shade,Type,Single Arm,"Details Price: Get Price Where to buy: (enter zip code) submit Model: 904-450 Style equitable: Artisan, Contemporary, Traditional Type: Single Arm (Also available in Double Arm) Material: Copper, Iron Color / Finish: Antique Bronze, Black Dimensions: 8"" W x 17"" H x 9"" Projection",0,"0,3333333333",Copper and iron finish.,"0,5","0,5",Wall Sconce,0,"0,5",co:Single Arm (Also available in Double,1,"0,6666666667",Single Arm (Also available in Double Arm),1,1
,Material,"Copper, Iron","Model: 904-450 Style: Artisan, Contemporary, Traditional Type: Single Arm ( rolling out in Double Arm) Material: Copper, Iron Color / Finish: Antique Bronze, Black Dimensions: 8"" W x 17"" H x 9"" Projection",0,,None,0,,Copper,1,,"Copper, Iron",1,,"Copper, Iron",1,
,Shape,none,None,1,,Lamp Shade Material is Copper,1,,Single Arm,"0,5",,Where,0,,None,1,
Philips Avent Natural Feeding Bottle Single Pack 125ml,Material,"BPA free*
Polypropylene, silicone",Product material is Polypropylene,1,1,Newborn flow nipple 0m+,0,0,BPA free* Polypropylene,1,1,"125ml, 4oz, BPA free","0,5","0,5",Polypropylene,1,1
7000 Force Helmet - Shiro,Department,None,Department is DOT/ECE 22.05,0,0,Helmet,1,1,The department of the 7000 Force Helmet - Shiro is the Armed Forces.,0,0,DOT/ECE 2205 Certification,0,0,None,1,1
Prism Glass Table - Rectangle,Shape,Rectangle,None,0,0,None,0,0,Rectangular,1,1,Rectangular,1,1,Rectangular,1,1
Outdoor Life Men's Canvas Jacket,Type,Jacket/Outdoor..,Outdoor Life Men's Canvas Jacket,1,"0,5",None,0,0,Jacket.,1,"0,8333333333",None,0,0,canvas,1,1
,Style,Sporty,Outdoor Life,0,,None,0,,Sporty,1,,None,0,,sporty,1,
,Pattern,Woven/None,Outdoor Life Men's Canvas Jacket,"0,5",,Comes in four colors.,0,,Canvas,"0,5",,"Stand collar, Zipper closure; inner storm",0,,None,1,
"Emtec C400 USB 2.0 Flash Drive, 32GB, Blue",Capacity,32GB,Capacity:32GB,1,1,None,0,0,32GB,1,1,Capacity: 32GB,1,1,32GB,1,1
Qmobile Noir X600 With 16GB Internal Dual Sim Smartphone,Broadband Generation,Broadband,Broadband,1,"0,7916666667",None,0,"0,1666666667",None,0,"0,5416666667",None,0,"0,3333333333",None,0,"0,875"
,Rear Camera Resolution,8MP,8MP Rear 2MP Front FM Yes Warranty 6 months seller warranty In The Box 1 x mobile 1 x Earphone 1 x Charger 1 x Usb Cable 1 x user manual,1,,3MP rear camera with flash,"0,5",,None,0,,None,0,,8MP,1,
,SIM Slots,Dual,Number of Sim Dual Sim,1,,None,0,,None,0,,None,0,,Dual Sim,1,
,Operating System,Android 4.2 Jellybean,Android 4.2 Jellybean,1,,None,0,,Android 4.2 Jellybean.,1,,Yes,"0,5",,Android 4.2 Jellybean,1,
,Front Camera Resolution,2MP,2MP Front,1,,5.0inch,0,,720 x 1280 noodles,0,,Front Camera Resolution: 2MP,1,,2MP,1,
,Form Factor,None,Android (Bar type),"0,5",,Noir X600 Dual Sim Android 4.2 Jellybean Phone,0,,Bar.,"0,5",,None,1,,Bar type,"0,5",
,Weight,None,5.1,0,,No,"0,5",,160 grams.,0,,135g,0,,None,1,
,Display Resolution,720 x 1280 pixels,Qmobile Noir X600 With 16GB Internal Dual Sim Smartphone has a 720 x 1280 Pixels,0,,None,0,,720 x 1280 pixels.,1,,Display Resolution: 720 x 1280 pixels,1,,720 x 1280 pixels,1,
,Screen Size,5inch,Screen size is 5.0inch,1,,5.0inch,1,,5.0inch,1,,50 inches,0,,5.0inch,1,
,RAM,2gb,RAM is 2GB,1,,None,0,,2GB,1,,Yes,"0,5",,2GB,1,
,Lens Quantity,none,None,1,,Black,0,,None,1,,8,0,,None,1,
,Battery Life,1800mah,Battery Life is 1800mah,1,,None,0,,1800mah,1,,"Yes,No",0,,1800mah,1,
Moe's Home Collection Rita Blue Dining Chair,Style,Dining Chair/None,Moe's Home Collection Rita Blue Dining Chair is of the style Dining Chair.,1,"0,375",the Rita blue dining chair by moes home collection.,1,"0,75",Dining Chair,1,"0,625","The text ""Blue Finish"" is the style",1,"0,5",Blue Finish,1,1
,Upholstery Material,None,"Moe's Home Collection Rita Blue Dining Chair has a Blue Finish, Upholstery Material is Fabric, Weight: 20.2 LBS, Interior Dry Rated","0,5",,None,1,,Fabric,"0,5",,Blue Finish,0,,None,1,
,Type,Dining Chair/None,Interior Dry Ratted Type: Moe's Home Collection Rita Blue Dining Chair Finish: Blue Width: 18 Height: 32 Depth: 23 Width: 20.2,0,,None,1,,Dining Chair,1,,None,1,,None,1,
,Cover Material,None,"Moe's Home Collection Rita Blue Dining Chair has a Blue Finish, 32 inches high, 18 inches wide, 23 inches deep, weight: 20.2 LBS, and is interior dry rated.",0,,Fabric,0,,Blue Finish,0,,"The cover material is blue finish, interior dry",0,,None,1,
Silhouette Wine Cooler,Capacity,None,None,1,1,bottle capacity,0,0,20,0,0,The capacity of this cooler is described as being,0,0,None,1,1
HP 490432-001 ProLiant DL160 G6 Server,Processor Speed,None,ProLiant DL160 G6 Server has a processor speed of 2.4 GHz,"0,5","0,0625",ProLiant DL160 G6 Server,0,"0,25",None,1,"0,625",Name: HP 4,0,"0,375",None,1,1
,Processor Brand,None/hp,Processor Brand is AMD,0,,HP,1,,Processor Brand: HP,1,,HP,1,,None,1,
,Design,None,"ProLiant DL160 G6 Server is a high performance, low cost, ultra-dense rack server node for memory intensive High Performance Computing (HPC) environments, web serving and large memory footprint server deployments design",0,,ProLiant DL160 G6 Server,0,,ProLiant DL160 G6 Server.,0,,"Attribute: Design, Name: HP 4904",0,,None,1,
,Number of Cores,None,ProLiant DL160 G6 Server,0,,None,1,,16,0,,None,1,,None,1,
,Number of Processors,None,0,0,,- Number of Processors,0,,None,1,,None,1,,None,1,
,Number of Rack Units,None,0,0,,"high performance, low cost",0,,None,1,,1,0,,None,1,
,Installed RAM,None,HP 490432-001 ProLiant DL160 G6 Server has an installed RAM amount of 2 GB,0,,DL160 G6 Server,0,,64GB,0,,HP,0,,None,1,
,Power Supply,None,None,0,,Server,0,,None,1,,HP 4,0,,None,1,
,,,,"92,5","27,16130952",,"75,5","18,73452381",,"115,5","33,13333333",,"78,5","23,70892857",,"143,5","34,63035714"
