,MAE,Correct Answer,"point system: 1+ if correct ‘None’ or correct answer, +0.5 if not correct answer but is almost correct",,,,,,,,,,,,,,,
,If Swivel',None,,None,1,,None,1,,None,1,,32 Inches High 18 Inches Wide,0,,None,1,
,Target Use/Application',Dining chair/Dining Chair/ Chair,,Target Use/Application is Interior Dry Rated,0,,Color: Blue,0,,Dining Chair,1,,Blue Finish,0,,None,0,
,Type of Household/Office Chair/Stool',Dining chair/Dining Chair/ Chair,,Chair/Stool,1,,Chair,1,,The type of household/office chair is Dining Chair.,0,,Home,"0,5",,None,0,
Silhouette Wine Cooler,Capacity of Wine Chiller',None,4,Capacity,0,0,3,0,0,750 mL,0,"0,25",None,0,"0,25",modest,"0,5","0,625"
,Energy Type',None,,Cooler,0,,Temperature control,0,,None,1,,Sonoma,0,,None,1,
,Function',Wine Cooler,,None,0,,Sonoma First class accommodation,0,,None,0,,wine,0,,None,0,
,Installation Type',None,,Silhouette Wine Cooler,0,,refrigerator,0,,Freestanding,0,,None,1,,None,1,
HP 490432-001 ProLiant DL160 G6 Server,Target Use/Application',Servers,1,None,0,0,None,0,0,Web serving and large memory footprint server deployments,1,1,None,0,0,"HPC environments, web serving and large memory footprint server deployments.",1,1
,,,186,16,"117,5","32,2672619",4,"90,5","24,76190476",1,"120,5","30,77142857",226,87,"23,31488095",0,"127,5","32,07261905"
,,,,,,,,,,,,,,,,,,
,,,186,,,,,,,,,,,,,,,
